entry_time,exit_time,entry_price,exit_price,exit_type,pnl,pnl_pct,winner,hold_hours,entry_rsi,entry_trend_strength,entry_volatility,entry_volume_ratio,hour,day
2024-04-26 13:00:00,2024-04-26 14:00:00,64500.01,63993.35371428572,SL,-104.55134994774193,-1.0455134994774193,0,1,50.033820592893335,0.9028770362493744,422.2135714285708,2.3459006149374546,13,Friday
2024-04-29 22:00:00,2024-04-30 07:00:00,63890.0,63282.79485714286,SL,-121.03915211412476,-1.2103915211412475,0,9,68.25594541814914,0.023043397914181838,506.0042857142871,1.4339486629490745,22,Monday
2024-05-09 22:00:00,2024-05-10 14:00:00,63280.47,62615.137714285716,SL,-131.14022505115474,-1.3114022505115475,0,16,72.34919029028866,1.478054241700365,554.4435714285719,1.100551618962763,22,Thursday
2024-05-13 07:00:00,2024-05-14 09:00:00,62334.37,61858.872571428576,SL,-102.28174128838184,-1.0228174128838186,0,26,61.57315032991548,1.2685609717358075,396.24785714285724,2.477457363070912,7,Monday
2024-05-15 11:00:00,2024-05-15 12:00:00,62467.18,63544.27857142858,TP,146.42631593559656,1.4642631593559656,1,1,69.999482294471,1.3506573886309579,359.03285714285863,1.3709484616529564,11,Wednesday
2024-05-30 13:00:00,2024-05-31 09:00:00,68623.99,68122.24085714287,SL,-99.1157052886516,-0.991157052886516,0,20,69.29686227621023,0.9553440091899008,418.1242857142861,1.995003470322041,13,Thursday
2024-06-03 01:00:00,2024-06-03 12:00:00,68476.01,69503.93642857141,TP,124.11482540694416,1.2411482540694416,1,11,54.83166961530001,1.2511503449748018,342.64214285714115,1.7577772314340991,1,Monday
2024-06-03 14:00:00,2024-06-04 15:00:00,68776.01,70389.61785714286,TP,208.61783507692087,2.0861783507692087,1,25,62.172051919359184,1.1463863043433058,537.8692857142867,3.0664269005023375,14,Monday
2024-07-01 11:00:00,2024-07-02 14:00:00,62662.09,62219.413428571424,SL,-96.64503776183847,-0.9664503776183846,0,27,61.01530988949289,1.356437797464887,368.8971428571427,1.0142688794148653,11,Monday
2024-07-10 10:00:00,2024-07-10 13:00:00,58656.01,58055.12885714286,SL,-128.44153034908828,-1.2844153034908827,0,3,58.34531382771057,0.8862750177212442,500.73428571428514,1.0558228554925757,10,Wednesday
2024-07-11 01:00:00,2024-07-11 03:00:00,58280.35,57716.22914285714,SL,-122.79434957800662,-1.2279434957800661,0,2,45.16098056161432,0.28107966938238355,470.1007142857156,1.2010193079493936,1,Thursday
2024-07-11 09:00:00,2024-07-11 15:00:00,58290.13,57765.808,SL,-115.95039125834856,-1.1595039125834856,0,6,67.39465590306557,0.3534207295197036,436.9350000000008,1.0372376488929234,9,Thursday
2024-07-12 15:00:00,2024-07-12 19:00:00,58214.0,57715.18914285715,SL,-111.68572115691293,-1.1168572115691293,0,4,70.29338950451,0.5608366373370447,415.6757142857132,1.6799199886369267,15,Friday
2024-07-25 21:00:00,2024-07-26 13:00:00,65838.0,67616.36357142858,TP,244.1120282251249,2.4411202822512488,1,16,74.91082392842515,0.8811923465749386,592.7878571428575,1.1330008895107089,21,Thursday
2024-08-09 14:00:00,2024-08-11 20:00:00,60341.07,59595.71828571428,SL,-149.52311854690618,-1.4952311854690619,0,54,33.23513030786066,1.4341182632260923,621.1264285714284,2.071034964968396,14,Friday
2024-08-12 14:00:00,2024-08-12 18:00:00,60299.98,59249.014,SL,-200.28961004630523,-2.0028961004630523,0,4,63.71314459888993,0.6163807980784948,875.8049999999993,3.2166128999534735,14,Monday
2024-08-16 18:00:00,2024-08-18 23:00:00,59467.0,58774.70714285714,SL,-142.41630772409178,-1.4241630772409177,0,53,64.54074515333632,0.3018458404897911,576.9107142857154,1.6944574687414342,18,Friday
2024-08-19 23:00:00,2024-08-20 04:00:00,59438.5,60797.87714285714,TP,202.7031373364304,2.027031373364304,1,5,80.52605323634864,0.49051634898600294,453.1257142857139,1.542787158255058,23,Monday
2024-08-21 13:00:00,2024-08-21 14:00:00,59928.0,59465.62885714286,SL,-103.15444247382534,-1.0315444247382535,0,1,71.68467793200936,1.3718338129968854,385.3092857142848,3.546496828614943,13,Wednesday
2024-08-21 16:00:00,2024-08-21 19:00:00,59885.58,61249.94571428571,TP,201.82875515035704,2.0182875515035703,1,3,59.66582518378141,1.055674316363472,454.78857142857095,1.1468597097748345,16,Wednesday
2024-08-22 02:00:00,2024-08-23 17:00:00,60186.48,62270.440714285716,TP,320.2506387291154,3.2025063872911543,1,39,57.10040748093202,0.9189481021559722,694.6535714285716,1.301199208174067,2,Thursday
2024-09-09 16:00:00,2024-09-10 19:00:00,56430.11,57892.19857142857,TP,233.09723929805716,2.3309723929805717,1,27,65.36099403105536,0.39827243637678733,487.36285714285674,2.6864177926868296,16,Monday
2024-09-11 01:00:00,2024-09-11 13:00:00,56717.99,56101.131714285715,SL,-134.75884101574877,-1.3475884101574878,0,12,43.43962645193655,0.462451254215483,514.048571428572,1.9488093937011937,1,Wednesday
2024-09-11 16:00:00,2024-09-13 15:00:00,57312.0,59051.78357142857,TP,277.5635768126341,2.775635768126341,1,47,54.05072683033996,1.412936964953423,579.927857142857,1.498276560752568,16,Wednesday
2024-10-07 10:00:00,2024-10-07 23:00:00,62891.48,62431.87485714286,SL,-99.0790788922672,-0.990790788922672,0,13,53.91606329084642,0.915334549622479,383.0042857142856,1.6372189623828506,10,Monday
2024-10-08 13:00:00,2024-10-08 15:00:00,63035.27,62614.61685714285,SL,-92.73298025964624,-0.9273298025964624,0,2,67.82016193158101,1.1858361428857536,350.54428571428645,2.035695648909113,13,Tuesday
2024-10-24 00:00:00,2024-10-25 17:00:00,67432.01,66843.38685714285,SL,-113.2913535955918,-1.132913535955918,0,41,63.98127211156665,0.9152158889354307,490.519285714285,1.104116599795184,0,Thursday
2024-11-05 15:00:00,2024-11-05 19:00:00,69639.99,69121.57114285715,SL,-100.44269551774103,-1.0044269551774103,0,4,75.98026190928098,1.158673746290346,432.01571428571333,2.3971808624701776,15,Tuesday
2024-11-05 20:00:00,2024-11-06 02:00:00,69445.99,71368.1242857143,TP,250.7811771009799,2.5078117710097994,1,6,56.790780467216116,0.43140335330686,640.711428571428,1.703762087569703,20,Tuesday
2024-11-27 14:00:00,2024-11-29 02:00:00,94833.41,96683.75214285715,TP,169.11500671094137,1.6911500671094137,1,36,79.29942496152911,0.5941915784797972,616.7807142857148,1.6437167421018368,14,Wednesday
2024-11-29 07:00:00,2024-11-29 11:00:00,95625.05,97151.39428571428,TP,133.6176196210386,1.3361761962103862,1,4,58.439126556946434,1.4647964500828092,508.78142857142666,1.2556329157204669,7,Friday
2024-12-02 15:00:00,2024-12-02 17:00:00,97048.0,96047.10228571428,SL,-129.13429584182245,-1.2913429584182246,0,2,43.167202452543094,1.3998832923688365,834.0814285714306,2.4265715789466635,15,Monday
2024-12-04 01:00:00,2024-12-04 16:00:00,96216.0,95240.34857142858,SL,-127.40220218793361,-1.274022021879336,0,15,59.51250346651471,0.5312040336349206,813.0428571428575,1.0098572544382969,1,Wednesday
2024-12-04 18:00:00,2024-12-04 20:00:00,96111.01,97983.88214285714,TP,168.86551466446397,1.6886551466446398,1,2,50.99386457802536,0.45596700931965495,624.2907142857158,1.175731497174144,18,Wednesday
2024-12-11 13:00:00,2024-12-11 19:00:00,98736.86,100760.62785714286,TP,178.9657906016917,1.789657906016917,1,6,71.55785807084801,1.1380693321414497,674.5892857142846,1.4334670916477144,13,Wednesday
2024-12-12 19:00:00,2024-12-13 17:00:00,99481.32,101697.585,TP,196.78202581147892,1.9678202581147892,1,22,39.23868375046354,1.040403130481009,738.7549999999984,2.2313023836544543,19,Thursday
2024-12-25 10:00:00,2024-12-26 07:00:00,98457.0,97745.51828571428,SL,-98.26319248867232,-0.9826319248867232,0,21,65.37501293422514,0.867098908269928,592.9014285714283,1.452373418868535,10,Wednesday
2025-01-02 00:00:00,2025-01-02 09:00:00,95128.59,96729.9857142857,TP,142.34010829822148,1.4234010829822148,1,9,77.63813239118701,0.24235886123696418,533.798571428572,2.5049815985981807,0,Thursday
2025-01-14 08:00:00,2025-01-15 13:00:00,95488.5,97485.75857142857,TP,183.1622102586769,1.8316221025867692,1,29,89.42167443731198,0.8387296061118704,665.7528571428577,1.0444959955078073,8,Tuesday
2025-01-29 19:00:00,2025-01-30 14:00:00,103583.99,105797.65357142859,TP,187.70711549425545,1.8770711549425545,1,19,66.63169204214066,1.079554474764686,737.8878571428597,5.632192294929892,19,Wednesday
2025-01-31 03:00:00,2025-01-31 18:00:00,104344.46,103494.48885714286,SL,-107.45819556276838,-1.0745819556276837,0,15,43.964539854345716,1.367166054155898,708.3092857142838,1.1582323379401933,3,Friday
2025-02-10 13:00:00,2025-02-10 14:00:00,98215.72,97385.94314285714,SL,-110.48513711887064,-1.1048513711887065,0,1,68.20408866882536,0.4231979922876854,691.4807142857161,1.2178177578021592,13,Monday
2025-02-14 16:00:00,2025-02-16 13:00:00,97658.7,97023.79714285715,SL,-91.01242153979624,-0.9101242153979623,0,45,64.82296068386832,0.9673647087440451,529.0857142857141,1.6866782872889878,16,Friday
2025-02-20 02:00:00,2025-02-21 12:00:00,97134.52,98732.46785714287,TP,138.50875107457807,1.3850875107457807,1,34,63.251132002124436,1.1651132531443762,532.6492857142865,1.4794389482808947,2,Thursday
2025-03-03 15:00:00,2025-03-03 18:00:00,90035.37,88481.46428571429,SL,-198.5883632494325,-1.985883632494325,0,3,37.24288254366698,0.6863611515619316,1294.9214285714272,2.7974111413524185,15,Monday
2025-03-05 13:00:00,2025-03-05 15:00:00,89473.92,88352.67085714286,SL,-151.31575042840836,-1.5131575042840837,0,2,66.25508726966379,1.4618931613135149,934.3742857142861,1.8868240185609881,13,Wednesday
2025-03-05 16:00:00,2025-03-06 04:00:00,88926.53,92198.705,TP,341.9638686002932,3.419638686002932,1,12,60.49840795934032,0.7371929280225489,1090.7249999999997,1.8542536860330174,16,Wednesday
2025-03-06 13:00:00,2025-03-06 18:00:00,89569.13,88462.33571428571,SL,-149.56872124517582,-1.4956872124517582,0,5,43.54359851852965,1.00221846424799,922.3285714285709,1.3684016339627192,13,Thursday
2025-03-06 22:00:00,2025-03-07 00:00:00,90313.66,88887.82428571429,SL,-183.8759751609793,-1.838759751609793,0,2,44.93236089588728,1.3481669302196748,1188.1964285714275,1.3522248050483099,22,Thursday
2025-03-07 14:00:00,2025-03-07 15:00:00,90440.74,89005.21514285715,SL,-184.72546566324567,-1.8472546566324566,0,1,80.40977963138158,1.4787836667931402,1196.270714285714,1.6589045527312662,14,Friday
2025-03-17 17:00:00,2025-03-18 01:00:00,84197.46,83407.85314285714,SL,-119.78036548167394,-1.1978036548167394,0,8,57.085477629167144,0.7102183190018279,658.0057142857155,1.3312619270635806,17,Monday
2025-03-19 13:00:00,2025-03-19 18:00:00,84092.16,85370.06357142857,TP,125.96465062005436,1.2596465062005435,1,5,72.4030674826666,1.4711004948788315,425.9678571428563,2.613306310562899,13,Wednesday
2025-03-20 15:00:00,2025-03-20 16:00:00,84691.76,83934.95857142856,SL,-115.35951131154091,-1.1535951131154092,0,1,38.48713832661197,1.1817573655333422,630.6678571428555,2.6663059024183258,15,Thursday
2025-04-02 20:00:00,2025-04-02 22:00:00,85659.99,84502.16914285715,SL,-161.16472009194197,-1.6116472009194198,0,2,61.840439655438644,1.2602615874129386,964.8507142857145,4.926359554276895,20,Wednesday
2025-04-04 08:00:00,2025-04-04 10:00:00,84415.99,83767.47057142858,SL,-102.82424011984271,-1.028242401198427,0,2,77.36732446773192,0.7796898605565021,540.432857142859,1.4739327839088239,8,Friday
2025-04-04 17:00:00,2025-04-05 13:00:00,84460.0,83227.14657142857,SL,-171.96891174182178,-1.7196891174182178,0,20,60.71299907585791,0.5144858126645129,1027.3778571428568,1.3417587693541055,17,Friday
2025-04-09 18:00:00,2025-04-10 15:00:00,81788.37,80303.87314285713,SL,-207.5046390022031,-2.075046390022031,0,21,74.12901133590076,0.8513290370640859,1237.0807142857145,2.2399296194165466,18,Wednesday
2025-04-11 08:00:00,2025-04-11 17:00:00,81631.89,83514.54214285716,TP,204.62704328628894,2.0462704328628893,1,9,74.47168857431745,1.2596718539926224,627.5507142857168,1.509973015640182,8,Friday
2025-05-06 18:00:00,2025-05-06 23:00:00,95067.36,96509.57142857142,TP,125.70416308724884,1.2570416308724885,1,5,56.851975961979484,0.6677784694263915,480.7371428571423,1.053681355550126,18,Tuesday
2025-06-16 23:00:00,2025-06-17 10:00:00,106794.53,106007.99857142857,SL,-99.64903694706337,-0.9964903694706336,0,11,48.38120299947582,0.696494081436156,655.442857142857,1.472806049597122,23,Monday
2025-07-21 02:00:00,2025-07-21 18:00:00,118183.92,117463.54285714286,SL,-86.95390496923224,-0.8695390496923224,0,16,51.33488928103839,1.0841196960705108,600.3142857142842,1.0427419043192756,2,Monday
2025-07-22 07:00:00,2025-07-25 02:00:00,117983.68,117065.86514285713,SL,-103.79167908162054,-1.0379167908162055,0,67,51.220910587575446,0.4798002974860848,764.8457142857171,1.9793793619771258,7,Tuesday
2025-07-31 00:00:00,2025-07-31 19:00:00,118415.8,117581.55057142857,SL,-96.45085441059679,-0.964508544105968,0,19,53.34167866096353,0.5770062895582869,695.2078571428574,1.074345171107607,0,Thursday
2025-08-23 02:00:00,2025-08-23 13:00:00,115927.98,114891.03942857143,SL,-115.44696279781358,-1.154469627978136,0,11,74.30384824935408,0.5346737248378973,864.1171428571428,1.056427805262107,2,Saturday
2025-09-02 13:00:00,2025-09-04 14:00:00,111149.99,110269.82942857144,SL,-105.18674319525974,-1.0518674319525974,0,49,65.60779634958239,1.036667520395708,733.4671428571424,3.3128178364077128,13,Tuesday
2025-09-05 02:00:00,2025-09-05 12:00:00,111340.65,113180.71285714286,TP,139.26424600025848,1.3926424600025848,1,10,53.48798915979857,1.0804206108966388,613.3542857142883,1.1918902054878577,2,Friday
2025-10-20 09:00:00,2025-10-21 01:00:00,110964.13,110129.44857142858,SL,-101.22083294587367,-1.0122083294587367,0,16,69.57645454476217,0.6475609446128381,695.5678571428538,1.3641852291076269,9,Monday
2025-10-21 17:00:00,2025-10-21 22:00:00,111973.42,110579.596,SL,-150.478112752115,-1.50478112752115,0,5,64.05005216579656,1.3702650777533967,1161.5199999999988,3.805825882875232,17,Tuesday
2025-10-23 06:00:00,2025-10-23 07:00:00,110246.94,109410.792,SL,-101.84319347094812,-1.0184319347094812,0,1,71.80688518080521,0.6410864067027521,696.7899999999988,1.2799761255587403,6,Thursday
2025-10-23 15:00:00,2025-10-26 09:00:00,109908.28,111914.38642857142,TP,156.52550477283637,1.5652550477283638,1,66,69.61297864555922,0.20605792645231655,668.7021428571409,1.158867594463156,15,Thursday
2025-11-10 14:00:00,2025-11-11 15:00:00,104898.15,104149.68428571428,SL,-97.35166008987935,-0.9735166008987935,0,25,37.270967985380665,0.47899244462216334,623.721428571428,1.9858329682640972,14,Monday
2025-12-07 17:00:00,2025-12-07 22:00:00,90945.17,90171.65342857143,SL,-111.05306784610646,-1.1105306784610647,0,5,61.0325563266676,1.0783643505733722,644.5971428571429,4.05408273368454,17,Sunday
2025-12-08 01:00:00,2025-12-09 16:00:00,90910.7,93907.36357142856,TP,303.62715845643754,3.0362715845643753,1,39,60.936363071956336,0.6262785337609058,998.8878571428567,1.4504495655656813,1,Monday
2025-12-11 20:00:00,2025-12-12 15:00:00,91792.99,91002.99142857143,SL,-112.06306118022434,-1.1206306118022433,0,19,70.21203366955936,1.3588469479946177,658.3321428571425,1.0585339281507973,20,Thursday
2025-12-18 13:00:00,2025-12-18 16:00:00,88851.7,88257.12485714286,SL,-92.91770026427615,-0.9291770026427615,0,3,84.03478006722217,0.5083323126246493,495.47928571428616,4.3831666667471705,13,Thursday
2025-12-22 00:00:00,2025-12-22 12:00:00,88622.4,90033.6257142857,TP,133.24029526233915,1.3324029526233916,1,12,49.15698750249086,0.8288767163946641,470.4085714285715,3.139068844176136,0,Monday
2025-12-26 07:00:00,2025-12-26 14:00:00,88470.75,87767.40857142858,SL,-105.49988313328691,-1.054998831332869,0,7,53.59849841052844,0.7240813569068677,586.1178571428567,2.8134242242393954,7,Friday
2025-12-30 17:00:00,2025-12-31 16:00:00,88371.34,87795.18485714286,SL,-91.19705855508586,-0.9119705855508586,0,23,68.33564914044126,0.9006890016667936,480.1292857142845,1.2321504026009606,17,Tuesday
2026-01-09 15:00:00,2026-01-09 19:00:00,91176.47,90497.26057142857,SL,-100.49393780779477,-1.0049393780779476,0,4,51.596292481977336,0.41006088670622387,566.0078571428561,5.251005443245146,15,Friday
