entry_date,exit_date,entry_price,exit_price,exit_type,bars_held,gross_pnl,fees,net_pnl,pnl_pct,winner,entry_rsi,trend_strength,volume_ratio
2024-04-18 14:00:00,2024-04-18 17:00:00,63816.57,63114.285,stop_loss,3,-110.04743752288728,26.0,-136.04743752288726,-1.3604743752288726,0,73.6635853742783,4.606721359296193,0
2024-04-20 15:00:00,2024-04-22 05:00:00,64808.35,65987.01564285715,take_profit,38,181.869410786905,26.0,155.869410786905,1.55869410786905,1,74.66724320251389,7.325827830113053,0
2024-04-22 22:00:00,2024-04-23 03:00:00,67027.97,66591.27500000001,stop_loss,5,-65.15116003065472,26.0,-91.15116003065472,-0.9115116003065473,0,74.88727700450922,8.392779257769327,0
2024-04-30 00:00:00,2024-04-30 01:00:00,64580.0,64017.080714285716,stop_loss,1,-87.1661947529087,26.0,-113.1661947529087,-1.131661947529087,0,74.13406061300323,1.5182001540195513,0
2024-05-03 13:00:00,2024-05-04 05:00:00,61689.94,63360.876500000006,take_profit,16,270.8604514771782,26.0,244.86045147717817,2.4486045147717816,1,78.40498326595771,0.9209546645245626,0
2024-05-04 10:00:00,2024-05-04 11:00:00,64420.91,63920.97785714286,stop_loss,1,-77.60401752430103,26.0,-103.60401752430103,-1.0360401752430102,0,71.94859021389959,5.930669510065806,0
2024-05-05 15:00:00,2024-05-05 18:00:00,64428.65,64057.904285714285,stop_loss,3,-57.54361053439992,26.0,-83.54361053439992,-0.8354361053439991,0,75.60282252500076,6.4938532967904825,0
2024-05-06 08:00:00,2024-05-06 10:00:00,65143.04,64771.27357142857,stop_loss,2,-57.069247700357124,26.0,-83.06924770035712,-0.8306924770035713,0,75.2307461417244,7.5085684589748904,0
2024-05-09 22:00:00,2024-05-10 14:00:00,63280.47,62726.02642857143,stop_loss,16,-87.61685420929582,26.0,-113.61685420929582,-1.1361685420929584,0,72.34919029028866,1.4963334793800684,0
2024-05-13 08:00:00,2024-05-14 06:00:00,62767.18,62338.936428571425,stop_loss,22,-68.22730787468464,26.0,-94.22730787468464,-0.9422730787468464,0,71.1561121976701,2.1700903370149898,0
2024-05-15 10:00:00,2024-05-15 12:00:00,62674.71,63661.15742857143,take_profit,2,157.3916223260437,26.0,131.3916223260437,1.3139162232604369,1,79.4337024975257,2.056244126485867,0
2024-05-15 13:00:00,2024-05-15 18:00:00,64145.99,65714.08835714286,take_profit,5,244.45773728690736,26.0,218.45773728690736,2.1845773728690734,1,87.06477569208757,3.933184492441852,0
2024-05-15 19:00:00,2024-05-16 16:00:00,66006.23,65301.90642857143,stop_loss,21,-106.70562027683891,26.0,-132.7056202768389,-1.3270562027683892,0,94.36295469431012,5.403155595757391,0
2024-05-17 15:00:00,2024-05-17 17:00:00,67195.1,66711.705,stop_loss,2,-71.93902531583464,26.0,-97.93902531583464,-0.9793902531583465,0,72.95774089866833,7.60230175186896,0
2024-05-20 16:00:00,2024-05-20 19:00:00,68190.06,69510.25600000001,take_profit,3,193.60534365272753,26.0,167.60534365272753,1.6760534365272755,1,70.8810582395362,6.4050307110724125,0
