entry_date,exit_date,entry_price,exit_price,exit_type,bars_held,gross_pnl,fees,net_pnl,winner
2024-04-26 13:00:00,2024-04-26 14:00:00,64500.01,64077.79642857143,stop_loss,1,-65.45945828978456,26.0,-91.45945828978456,0
2024-04-29 22:00:00,2024-04-30 05:00:00,63890.0,63383.99571428572,stop_loss,7,-79.19929342843692,26.0,-105.19929342843692,0
2024-05-09 22:00:00,2024-05-10 14:00:00,63280.47,62726.02642857143,stop_loss,16,-87.61685420929582,26.0,-113.61685420929582,0
2024-05-13 07:00:00,2024-05-14 08:00:00,62334.37,61938.122142857144,stop_loss,25,-63.568117740318584,26.0,-89.56811774031858,0
2024-05-15 11:00:00,2024-05-15 12:00:00,62467.18,63508.37528571429,take_profit,1,166.6787720710763,26.0,140.6787720710763,1
2024-05-30 13:00:00,2024-05-31 07:00:00,68623.99,68205.86571428573,stop_loss,18,-60.92975440720931,26.0,-86.92975440720932,0
2024-06-03 01:00:00,2024-06-03 12:00:00,68476.01,69469.6722142857,take_profit,11,145.11099789338027,26.0,119.11099789338027,1
2024-06-03 14:00:00,2024-06-04 15:00:00,68776.01,70335.83092857142,take_profit,25,226.79724057435516,26.0,200.79724057435516,1
2024-07-01 11:00:00,2024-07-02 14:00:00,62662.09,62293.19285714285,stop_loss,27,-58.87086480153244,26.0,-84.87086480153243,0
2024-07-10 10:00:00,2024-07-10 12:00:00,58656.01,58155.275714285715,stop_loss,2,-85.36794195757376,26.0,-111.36794195757376,0
2024-07-11 01:00:00,2024-07-11 03:00:00,58280.35,57810.249285714286,stop_loss,2,-80.66195798167178,26.0,-106.66195798167178,0
2024-07-11 09:00:00,2024-07-11 14:00:00,58290.13,57853.195,stop_loss,5,-74.95865938195672,26.0,-100.95865938195672,0
2024-07-12 15:00:00,2024-07-12 19:00:00,58214.0,57798.32428571429,stop_loss,4,-71.40476763076057,26.0,-97.40476763076057,0
2024-07-25 21:00:00,2024-07-26 13:00:00,65838.0,67557.08478571428,take_profit,16,261.1082939509523,26.0,235.10829395095232,1
2024-08-09 14:00:00,2024-08-11 19:00:00,60341.07,59719.94357142857,stop_loss,53,-102.93593212242139,26.0,-128.93593212242138,0
2024-08-12 14:00:00,2024-08-12 17:00:00,60299.98,59424.175,stop_loss,3,-145.24134170525434,26.0,-171.24134170525434,0
2024-08-16 18:00:00,2024-08-16 23:00:00,59467.0,58890.08928571428,stop_loss,5,-97.01358977007709,26.0,-123.01358977007709,0
2024-08-18 04:00:00,2024-08-18 23:00:00,59456.0,59125.62642857143,stop_loss,19,-55.566060856527876,26.0,-81.56606085652788,0
2024-08-19 23:00:00,2024-08-20 04:00:00,59438.5,60752.56457142857,take_profit,5,221.07969942521618,26.0,195.07969942521618,1
2024-08-21 13:00:00,2024-08-21 14:00:00,59928.0,59542.690714285716,stop_loss,1,-64.29536872818778,26.0,-90.29536872818778,0
2024-08-21 16:00:00,2024-08-21 19:00:00,59885.58,61204.466857142856,take_profit,3,220.23446331201163,26.0,194.23446331201163,1
2024-08-22 02:00:00,2024-08-23 17:00:00,60186.48,62200.97535714286,take_profit,39,334.7089507714782,26.0,308.7089507714782,1
2024-09-09 16:00:00,2024-09-10 19:00:00,56430.11,57843.46228571428,take_profit,27,250.4606646547883,26.0,224.4606646547883,1
2024-09-11 01:00:00,2024-09-11 13:00:00,56717.99,56203.94142857142,stop_loss,12,-90.63236751312505,26.0,-116.63236751312505,0
2024-09-11 16:00:00,2024-09-13 15:00:00,57312.0,58993.790785714285,take_profit,47,293.4447909188801,26.0,267.4447909188801,1
2024-10-07 10:00:00,2024-10-07 22:00:00,62891.48,62508.47571428572,stop_loss,12,-60.8992324102221,26.0,-86.8992324102221,0
2024-10-08 13:00:00,2024-10-08 15:00:00,63035.27,62684.72571428571,stop_loss,2,-55.61081688303776,26.0,-81.61081688303776,0
2024-10-24 00:00:00,2024-10-24 08:00:00,67432.01,66941.49071428571,stop_loss,8,-72.74279466299208,26.0,-98.74279466299208,0
2024-10-25 07:00:00,2024-10-25 17:00:00,67531.97,67178.12714285715,stop_loss,10,-52.39634755847521,26.0,-78.39634755847521,0
2024-11-05 15:00:00,2024-11-05 19:00:00,69639.99,69207.9742857143,stop_loss,4,-62.035579598116826,26.0,-88.03557959811683,0
2024-11-05 20:00:00,2024-11-06 02:00:00,69445.99,71304.05314285714,take_profit,6,267.5551378642793,26.0,241.5551378642793,1
2024-11-27 14:00:00,2024-11-27 19:00:00,94833.41,96622.07407142858,take_profit,5,188.6111731539101,26.0,162.6111731539101,1
2024-11-28 03:00:00,2024-11-29 14:00:00,95471.43,97791.72414285714,take_profit,35,243.0354445154064,26.0,217.0354445154064,1
2024-12-02 15:00:00,2024-12-02 16:00:00,97048.0,96213.91857142857,stop_loss,1,-85.94524653485178,26.0,-111.94524653485178,0
2024-12-04 01:00:00,2024-12-04 16:00:00,96216.0,95402.95714285714,stop_loss,15,-84.5018351566126,26.0,-110.5018351566126,0
