trade_id,scenario_id,symbol,entry_time,entry_price,exit_time,exit_price,exit_reason,position_size,pnl,pnl_pct,fees,slippage
1,S001,BTC/USDT,2024-04-25T17:35:00,64670.11,2024-04-25T21:15:00,65149.319397017796,Take Profit,0.3092618831172547,88.20120052920763,0.741006002646038,80.14820120052923,20.000000000000007
2,S001,BTC/USDT,2024-04-25T17:45:00,64583.59,2024-04-25T21:15:00,65036.440835982256,Take Profit,0.3098869325763046,80.29172467756038,0.7011856045510307,80.19477495593996,20.0136105998657
3,S001,BTC/USDT,2024-04-25T17:50:00,64715.29,2024-04-25T21:15:00,65174.43405785129,Take Profit,0.3094421450660261,82.00160768731354,0.7094831188290929,80.24463114683562,20.025638156169947
4,S001,BTC/USDT,2024-04-25T17:55:00,64704.0,2024-04-25T21:15:00,65131.22818347112,Take Profit,0.3096872671607898,72.19311379012368,0.6602809462647092,80.28432686608022,20.038004934371745
5,S001,BTC/USDT,2024-04-25T18:00:00,64638.2,2024-04-25T21:15:00,65064.30109234164,Take Profit,0.3101634868346764,72.01577206059589,0.6592094030180912,80.32579897941346,20.04840949471718
6,S001,BTC/USDT,2024-04-25T18:05:00,64640.35,2024-04-25T21:15:00,65036.07761336275,Take Profit,0.310313550824373,62.62331125675968,0.6121990573422836,80.35790578098289,20.05877653503026
7,S001,BTC/USDT,2024-04-25T18:10:00,64733.86,2024-04-25T18:35:00,64494.80964105137,Stop Loss,0.30999642045208564,-134.30655022800164,-0.3692817930965842,80.19495477260392,20.067264882046448
8,S001,BTC/USDT,2024-04-25T18:20:00,64842.15,2024-04-25T18:30:00,64592.27448594525,Stop Loss,0.3090027850707528,-137.3214445838306,-0.3853596989839957,80.06840753013816,20.036404939975515
9,S001,BTC/USDT,2024-04-25T18:25:00,64649.99,2024-04-25T21:15:00,65087.59129807908,Take Profit,0.3094346776003633,75.39417015105164,0.6768775959270587,80.15520426665546,20.004948812516712
10,S001,BTC/USDT,2024-04-25T18:50:00,64601.21,2024-04-25T20:00:00,64958.75891880517,Take Profit,0.3098393911659106,50.73474058968081,0.5534709315896288,80.17478103923916,20.015999574981137
11,S001,BTC/USDT,2024-04-25T18:55:00,64712.1,2024-04-25T20:10:00,64494.15656222131,Stop Loss,0.30940305084576447,-127.49872806044908,-0.33678931417569397,80.02105230198424,20.022121166636197
12,S001,BTC/USDT,2024-04-25T19:00:00,64781.34,2024-04-25T19:40:00,64576.421687258466,Stop Loss,0.30861711849837764,-123.2191906556317,-0.31632305343102013,79.90728063384891,19.99263048326369
13,S001,BTC/USDT,2024-04-25T19:10:00,64657.73,2024-04-25T21:15:00,65002.124258172735,Take Profit,0.3087643313072662,46.44466052887815,0.5326420494080621,79.96233973201383,19.964000767295765
14,S001,BTC/USDT,2024-04-25T19:15:00,64728.0,2024-04-25T20:10:00,64526.62298575018,Stop Loss,0.30851062340742047,-122.03477510188284,-0.3111126780524933,79.8149755794559,19.96927563191551
15,S001,BTC/USDT,2024-04-25T19:40:00,64597.76,2024-04-25T20:00:00,64863.29351794098,Take Profit,0.3086931690380343,22.145721397544122,0.41105685079634535,79.8455173717725,19.940887247158372
16,S001,BTC/USDT,2024-04-25T19:45:00,64651.26,2024-04-25T20:00:00,64907.52571554885,Take Profit,0.3084442874015424,19.219760556975462,0.3963816258938321,79.84429097726527,19.941311820311842
17,S001,BTC/USDT,2024-04-25T19:50:00,64657.5,2024-04-25T20:00:00,64903.84362014233,Take Profit,0.3084120434801838,16.151884182442803,0.3809977499011436,79.84058214456635,19.941151701319985
18,S001,BTC/USDT,2024-04-25T19:55:00,64747.11,2024-04-25T20:10:00,64595.33531752598,Stop Loss,0.30797326170617223,-106.5636799641866,-0.2344115165511125,79.71477206698735,19.940378652748322
19,S001,BTC/USDT,2024-04-25T20:00:00,64986.04,2024-04-25T20:05:00,64794.32994185585,Stop Loss,0.30645177317364997,-118.495148822099,-0.2950019083239234,79.60159887088147,19.915087189533743
20,S001,BTC/USDT,2024-04-25T20:20:00,64723.72,2024-04-25T21:15:00,65092.0663898158,Take Profit,0.3072662834013385,53.51817552607507,0.5691057155178977,79.66284799543853,19.88741689230888
21,S001,BTC/USDT,2024-04-25T20:30:00,64737.41,2024-04-25T21:15:00,65048.289288350534,Take Profit,0.30730485522899936,35.852353476402925,0.48021582629044046,79.67201634650178,19.89412040795038
